FlightNumber,date,BoosterVersion,PayloadMass,LaunchSite,Latitude,Longitude,Orbit,Flights,Reused,GridFins,Legs,LandingPad,ReusedCount,Serial,Block,Outcome,class
155,2022-07-11,Falcon 9,13260.0,VAFB SLC 4E,34.632093,-120.610829,VLEO,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,6.0,B1063,5.0,True ASDS,1
156,2022-07-15,Falcon 9,8183.607718120806,KSC LC 39A,28.6080585,-80.6039558,ISS,5.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,B1067,5.0,True ASDS,1
157,2022-07-17,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,13.0,True,True,True,5e9e3033383ecbb9e534e7cc,12.0,B1051,5.0,True ASDS,1
158,2022-07-21,Falcon 9,13260.0,VAFB SLC 4E,34.632093,-120.610829,VLEO,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,B1071,5.0,True ASDS,1
159,2022-07-24,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,8.0,True,True,True,5e9e3033383ecb075134e7cd,8.0,B1062,5.0,True ASDS,1
160,2022-08-04,Falcon 9,678.0,CCSFS SLC 40,28.5618571,-80.577366,TLI,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,6.0,B1052,5.0,True ASDS,1
161,2022-08-09,Falcon 9,13260.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,3.0,True,True,True,5e9e3033383ecb075134e7cd,2.0,B1073,5.0,True ASDS,1
162,2022-08-12,Falcon 9,13260.0,VAFB SLC 4E,34.632093,-120.610829,VLEO,10.0,True,True,True,5e9e3032383ecb6bb234e7ca,9.0,B1061,5.0,True ASDS,1
163,2022-08-19,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,9.0,True,True,True,5e9e3033383ecb075134e7cd,8.0,B1062,5.0,True ASDS,1
164,2022-08-28,Falcon 9,13260.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,2.0,True,True,True,5e9e3033383ecb075134e7cd,1.0,B1069,5.0,True ASDS,1
165,2022-08-31,Falcon 9,13260.0,VAFB SLC 4E,34.632093,-120.610829,VLEO,7.0,True,True,True,5e9e3032383ecb6bb234e7ca,6.0,B1063,5.0,True ASDS,1
166,2022-09-17,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,B1067,5.0,True ASDS,1
167,2022-09-24,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,4.0,True,True,True,5e9e3033383ecbb9e534e7cc,0.0,B1072,5.0,True ASDS,1
168,2022-10-05,Falcon 9,8183.607718120806,KSC LC 39A,28.6080585,-80.6039558,ISS,1.0,False,True,True,5e9e3033383ecbb9e534e7cc,0.0,B1077,5.0,True ASDS,1
